Date,Name,Company,Title,Message Type,Status,Accepted Date,Follow-up Notes
2026-05-19,Ellen,The Brand Power Company,Marketing,V-B,Pending,,
2026-05-19,Adam Dodsworth,iA Clarington,VP Sales,V-A,Pending,,
2026-05-19,David B.,Spicers,Senior Sales Leader,V-A,Pending,,
2026-05-19,Jeff Brown,Castrol-Wakefield,VP Automotive Sales,V-A,Pending,,
2026-05-19,Brian Mason,Strive,VP National Sales,V-A,Pending,,
2026-05-19,Thomas Mallerman,emergiTEL,VP Sales & Strategic Growth,V-A,Pending,,
2026-05-19,Peter Nodwell,Somerville Merchandising,VP Sales & Business Development,V-A,Pending,,
2026-05-19,Andrea Prodanou,Premium Brands,Commercial Director/VP Sales,V-A,Pending,,
2026-05-19,Scott Hawrelak,Transfer Agency & Trust,VP Corporate Sales,V-A,Pending,,
2026-05-19,Todd Temple,vAuto & Xtime Canada,VP Sales,V-A,Pending,,
2026-05-19,Wyson Zhang,Roadsport Auto Group,VP Sales Operations,V-A,Pending,,
2026-05-19,George Nassif,Berkeley Payment Solutions,Enterprise Sales Leader,V-A,Pending,,
2026-05-19,Laura Samson,ICS Courier,VP Sales,V-A,Pending,,
2026-05-19,Wesley Burgess,Rentsync & Rentals.ca,VP Sales,V-A,Pending,,
2026-05-19,Kamel Allani,Carrier Sales,VP-Carrier Sales & Partnership,V-A,Pending,,
2026-05-19,Doug F.,Unknown,VP Sales,V-A,Pending,,
2026-05-19,Chad Mangan,NutriAg Ltd,VP Sales Eastern Canada,V-A,Pending,,
2026-05-19,Matt Meghory,Visitor Management Company,Emergency Readiness/Compliance,V-B,Accepted,2026-05-19,Follow-up sent
